Purchase ID | Purchase Date | Delivery Date | Quantity | Supplier Id | Product Id | User Id
purchase26 | 2020-04-21 | 2020-12-22 | 80 | supplier3 | product182 | user1
purchase27 | 2022-03-15 | 2022-05-26 | 67 | supplier3 | product183 | user1
purchase28 | 2021-10-19 | 2021-12-10 | 77 | supplier3 | product184 | user1
purchase29 | 2019-04-25 | 2019-11-12 | 79 | supplier3 | product185 | user1
purchase30 | 2021-10-31 | 2022-03-10 | 59 | supplier3 | product186 | user1
purchase31 | 2021-02-24 | 2021-07-13 | 59 | supplier3 | product187 | user1
purchase32 | 2021-10-16 | 2021-12-06 | 68 | supplier3 | product188 | user1
purchase33 | 2020-06-28 | 2020-08-12 | 38 | supplier3 | product189 | user1
purchase34 | 2019-12-28 | 2020-10-03 | 79 | supplier3 | product190 | user1
purchase35 | 2022-02-23 | 2022-09-15 | 80 | supplier3 | product191 | user1
purchase36 | 2019-01-04 | 2021-10-16 | 21 | supplier3 | product192 | user1
purchase37 | 2020-11-13 | 2021-06-06 | 78 | supplier3 | product193 | user1
purchase38 | 2019-07-05 | 2022-05-17 | 42 | supplier3 | product194 | user1
purchase39 | 2020-05-01 | 2021-05-10 | 6 | supplier3 | product195 | user1
purchase40 | 2020-01-15 | 2020-09-12 | 8 | supplier3 | product196 | user1
purchase41 | 2020-11-09 | 2021-03-04 | 88 | supplier3 | product197 | user1
purchase42 | 2019-04-18 | 2021-02-19 | 51 | supplier3 | product198 | user1
purchase43 | 2022-02-23 | 2022-02-26 | 6 | supplier3 | product199 | user1
purchase44 | 2020-02-21 | 2021-01-09 | 77 | supplier3 | product200 | user1
purchase45 | 2019-04-20 | 2020-02-23 | 11 | supplier3 | product201 | user1
purchase46 | 2020-01-10 | 2020-12-18 | 7 | supplier3 | product202 | user1
purchase47 | 2021-06-08 | 2021-08-04 | 59 | supplier3 | product203 | user1
purchase48 | 2022-05-30 | 2022-08-10 | 69 | supplier3 | product204 | user1
purchase49 | 2020-09-02 | 2021-02-22 | 61 | supplier3 | product205 | user1
purchase50 | 2020-05-18 | 2020-05-26 | 36 | supplier3 | product206 | user1
purchase51 | 2021-09-10 | 2022-07-12 | 15 | supplier3 | product207 | user1
purchase52 | 2021-03-15 | 2021-03-27 | 76 | supplier3 | product208 | user1
purchase53 | 2019-11-28 | 2020-08-29 | 63 | supplier3 | product209 | user1
purchase54 | 2020-03-21 | 2020-12-07 | 18 | supplier3 | product210 | user1
purchase55 | 2020-08-31 | 2021-08-15 | 69 | supplier3 | product211 | user1
purchase56 | 2021-08-03 | 2022-04-24 | 65 | supplier3 | product212 | user1
purchase57 | 2020-09-06 | 2021-06-24 | 41 | supplier3 | product213 | user1
purchase58 | 2020-04-29 | 2021-04-09 | 69 | supplier3 | product214 | user1
purchase59 | 2019-06-03 | 2021-05-07 | 46 | supplier3 | product215 | user1
purchase60 | 2019-03-21 | 2020-11-22 | 60 | supplier3 | product216 | user1
purchase61 | 2022-04-19 | 2022-08-18 | 79 | supplier3 | product217 | user1
purchase62 | 2022-10-15 | 2022-10-19 | 7 | supplier3 | product218 | user1
purchase63 | 2020-12-11 | 2021-10-20 | 78 | supplier3 | product219 | user1
purchase64 | 2019-02-27 | 2021-09-30 | 58 | supplier3 | product220 | user1
purchase65 | 2019-03-11 | 2020-07-01 | 23 | supplier3 | product221 | user1
purchase66 | 2021-07-06 | 2021-08-03 | 42 | supplier3 | product222 | user1
purchase67 | 2019-09-14 | 2022-04-06 | 34 | supplier3 | product223 | user1
purchase68 | 2019-01-23 | 2019-03-29 | 52 | supplier3 | product224 | user1
purchase69 | 2019-10-02 | 2020-06-28 | 48 | supplier3 | product225 | user1
purchase70 | 2021-03-24 | 2021-06-15 | 68 | supplier3 | product226 | user1
purchase71 | 2020-11-03 | 2021-03-25 | 89 | supplier3 | product227 | user1
purchase72 | 2021-02-07 | 2022-02-08 | 18 | supplier3 | product228 | user1
purchase73 | 2020-03-24 | 2020-04-28 | 26 | supplier3 | product229 | user1
purchase74 | 2020-03-07 | 2021-04-29 | 27 | supplier3 | product230 | user1
purchase75 | 2019-01-02 | 2020-09-08 | 55 | supplier3 | product231 | user1
purchase76 | 2019-09-26 | 2021-07-14 | 11 | supplier3 | product232 | user1
purchase77 | 2019-02-27 | 2019-08-11 | 45 | supplier3 | product233 | user1
purchase78 | 2019-09-18 | 2019-10-17 | 8 | supplier3 | product234 | user1
purchase79 | 2021-10-27 | 2022-02-21 | 55 | supplier8 | product543 | user1
purchase80 | 2019-12-09 | 2020-03-28 | 36 | supplier8 | product544 | user1
purchase81 | 2021-07-09 | 2021-11-09 | 64 | supplier8 | product545 | user1
purchase82 | 2020-11-28 | 2021-04-23 | 33 | supplier8 | product546 | user1
purchase83 | 2020-05-31 | 2021-10-08 | 18 | supplier8 | product547 | user1
purchase84 | 2020-08-13 | 2020-09-30 | 28 | supplier8 | product548 | user1
purchase85 | 2022-08-26 | 2022-09-25 | 74 | supplier8 | product549 | user1
purchase86 | 2019-10-23 | 2022-01-29 | 10 | supplier8 | product550 | user1
purchase87 | 2022-02-24 | 2022-03-04 | 16 | supplier8 | product551 | user1
purchase88 | 2020-01-22 | 2020-03-15 | 74 | supplier8 | product552 | user1
purchase89 | 2019-02-04 | 2019-09-29 | 84 | supplier8 | product553 | user1
purchase90 | 2022-08-13 | 2022-09-12 | 35 | supplier8 | product554 | user1
purchase91 | 2020-05-02 | 2020-06-09 | 50 | supplier8 | product555 | user1
purchase92 | 2019-01-23 | 2020-02-24 | 46 | supplier8 | product556 | user1
purchase93 | 2019-09-14 | 2019-12-13 | 13 | supplier8 | product557 | user1
purchase94 | 2019-01-18 | 2020-09-27 | 20 | supplier8 | product558 | user1
purchase95 | 2019-10-18 | 2020-03-01 | 25 | supplier8 | product559 | user1
purchase96 | 2019-02-24 | 2019-04-06 | 23 | supplier8 | product560 | user1
purchase97 | 2020-03-16 | 2022-04-08 | 46 | supplier8 | product561 | user1
purchase98 | 2021-12-03 | 2022-03-30 | 57 | supplier8 | product562 | user1
purchase99 | 2020-10-07 | 2020-12-24 | 13 | supplier8 | product563 | user1
purchase100 | 2019-02-02 | 2021-03-05 | 23 | supplier8 | product564 | user1
purchase101 | 2019-08-19 | 2020-05-25 | 6 | supplier8 | product565 | user1
purchase102 | 2020-12-27 | 2021-08-20 | 21 | supplier8 | product566 | user1
purchase103 | 2021-06-10 | 2022-03-09 | 23 | supplier8 | product567 | user1
purchase104 | 2020-02-03 | 2021-06-18 | 60 | supplier8 | product568 | user1
purchase105 | 2019-11-22 | 2020-12-26 | 62 | supplier8 | product569 | user1
purchase106 | 2020-01-31 | 2020-05-13 | 77 | supplier8 | product570 | user1
purchase107 | 2020-03-20 | 2020-11-28 | 82 | supplier8 | product571 | user1
purchase108 | 2019-08-07 | 2021-09-22 | 38 | supplier8 | product572 | user1
purchase109 | 2021-02-06 | 2021-05-21 | 83 | supplier8 | product573 | user1
purchase110 | 2021-09-25 | 2021-12-19 | 41 | supplier8 | product574 | user1
purchase111 | 2019-10-26 | 2020-08-13 | 35 | supplier8 | product575 | user1
purchase112 | 2020-10-20 | 2020-12-18 | 51 | supplier8 | product576 | user1
purchase113 | 2021-05-09 | 2021-08-09 | 11 | supplier8 | product577 | user1
purchase114 | 2020-01-03 | 2021-06-26 | 36 | supplier8 | product578 | user1
purchase115 | 2021-07-18 | 2021-08-07 | 54 | supplier8 | product579 | user1
purchase116 | 2020-06-29 | 2021-04-08 | 70 | supplier8 | product580 | user1
purchase117 | 2021-11-07 | 2022-02-22 | 86 | supplier8 | product581 | user1
purchase118 | 2019-12-31 | 2020-02-22 | 19 | supplier8 | product582 | user1
purchase119 | 2020-06-14 | 2021-11-03 | 71 | supplier8 | product583 | user1
purchase120 | 2020-02-20 | 2021-10-06 | 1 | supplier8 | product584 | user1
purchase121 | 2019-10-08 | 2021-04-25 | 42 | supplier8 | product585 | user1
purchase122 | 2019-12-14 | 2021-06-23 | 78 | supplier8 | product586 | user1
purchase123 | 2019-06-08 | 2019-10-12 | 41 | supplier8 | product587 | user1
purchase124 | 2019-12-25 | 2020-07-06 | 72 | supplier8 | product588 | user1
purchase125 | 2021-05-18 | 2022-01-14 | 24 | supplier8 | product589 | user1
purchase126 | 2020-01-01 | 2020-08-07 | 66 | supplier8 | product590 | user1
purchase127 | 2019-06-08 | 2022-08-31 | 30 | supplier8 | product591 | user1
purchase128 | 2019-04-20 | 2021-04-22 | 71 | supplier8 | product592 | user1
purchase129 | 2019-08-21 | 2020-03-24 | 9 | supplier8 | product593 | user1
purchase130 | 2019-07-07 | 2020-06-02 | 22 | supplier8 | product594 | user1
purchase131 | 2019-05-25 | 2020-03-21 | 49 | supplier8 | product595 | user1
purchase132 | 2020-05-31 | 2020-08-11 | 55 | supplier8 | product596 | user1
purchase133 | 2019-07-16 | 2020-12-31 | 69 | supplier8 | product597 | user1
purchase134 | 2019-04-27 | 2019-10-03 | 51 | supplier8 | product598 | user1
purchase135 | 2019-12-25 | 2020-05-09 | 48 | supplier8 | product599 | user1
purchase136 | 2020-04-13 | 2020-12-28 | 10 | supplier8 | product600 | user1
purchase137 | 2020-11-24 | 2021-10-10 | 65 | supplier8 | product601 | user1
purchase138 | 2020-02-07 | 2021-06-28 | 41 | supplier8 | product602 | user1
purchase139 | 2022-02-28 | 2022-07-06 | 85 | supplier8 | product603 | user1
purchase140 | 2020-05-12 | 2021-08-18 | 42 | supplier8 | product604 | user1
purchase141 | 2019-06-06 | 2022-01-11 | 19 | supplier8 | product605 | user1
purchase142 | 2020-03-30 | 2021-01-10 | 65 | supplier8 | product606 | user1
purchase143 | 2019-06-20 | 2020-08-20 | 57 | supplier8 | product607 | user1
purchase144 | 2020-01-10 | 2021-08-01 | 50 | supplier8 | product608 | user1
purchase145 | 2019-12-25 | 2020-03-31 | 15 | supplier8 | product609 | user1
purchase146 | 2020-06-19 | 2020-11-30 | 44 | supplier8 | product610 | user1
purchase147 | 2020-08-06 | 2021-01-07 | 6 | supplier8 | product611 | user1
purchase148 | 2021-05-11 | 2021-06-02 | 8 | supplier8 | product612 | user1
purchase149 | 2019-12-26 | 2021-11-18 | 55 | supplier8 | product613 | user1
purchase150 | 2019-06-09 | 2021-02-03 | 60 | supplier8 | product614 | user1
purchase151 | 2021-06-21 | 2022-02-08 | 65 | supplier8 | product615 | user1
purchase152 | 2020-10-15 | 2021-06-28 | 26 | supplier8 | product616 | user1
purchase153 | 2019-06-22 | 2019-07-04 | 86 | supplier8 | product617 | user1
purchase154 | 2019-03-02 | 2019-09-28 | 4 | supplier8 | product618 | user1
purchase155 | 2019-05-19 | 2020-05-01 | 67 | supplier8 | product619 | user1
purchase156 | 2019-07-22 | 2020-06-01 | 25 | supplier9 | product620 | user1
purchase157 | 2022-07-28 | 2022-08-11 | 17 | supplier9 | product621 | user1
purchase158 | 2019-11-03 | 2020-04-07 | 83 | supplier9 | product622 | user1
purchase159 | 2022-07-22 | 2022-09-20 | 77 | supplier9 | product623 | user1
purchase160 | 2021-09-08 | 2021-10-21 | 8 | supplier9 | product624 | user1
purchase161 | 2019-03-11 | 2021-05-31 | 79 | supplier9 | product625 | user1
purchase162 | 2020-08-13 | 2020-12-25 | 21 | supplier9 | product626 | user1
purchase163 | 2022-05-18 | 2022-08-06 | 31 | supplier9 | product627 | user1
purchase164 | 2021-06-08 | 2021-07-02 | 72 | supplier9 | product628 | user1
purchase165 | 2020-07-16 | 2020-09-21 | 76 | supplier9 | product629 | user1
purchase166 | 2019-05-18 | 2020-04-25 | 47 | supplier9 | product630 | user1
purchase167 | 2019-12-01 | 2022-05-21 | 69 | supplier9 | product631 | user1
purchase168 | 2019-12-21 | 2021-01-17 | 24 | supplier9 | product632 | user1
purchase169 | 2021-09-27 | 2021-11-21 | 41 | supplier9 | product633 | user1
purchase170 | 2021-01-27 | 2021-07-01 | 65 | supplier9 | product634 | user1
purchase171 | 2020-09-13 | 2021-05-08 | 86 | supplier9 | product635 | user1
purchase172 | 2020-06-15 | 2021-01-30 | 10 | supplier9 | product636 | user1
purchase173 | 2019-01-02 | 2021-03-08 | 8 | supplier9 | product637 | user1
purchase174 | 2019-10-27 | 2020-07-26 | 1 | supplier9 | product638 | user1
purchase175 | 2020-09-22 | 2021-09-04 | 50 | supplier9 | product639 | user1
purchase176 | 2020-05-11 | 2021-04-13 | 20 | supplier9 | product640 | user1
purchase177 | 2019-05-16 | 2019-08-18 | 74 | supplier9 | product641 | user1
purchase178 | 2020-03-01 | 2020-12-08 | 29 | supplier9 | product642 | user1
purchase179 | 2020-10-26 | 2021-03-30 | 31 | supplier9 | product643 | user1
purchase180 | 2020-08-01 | 2020-12-18 | 5 | supplier9 | product644 | user1
purchase181 | 2020-06-03 | 2020-10-17 | 77 | supplier9 | product645 | user1
purchase182 | 2021-03-19 | 2021-05-03 | 87 | supplier9 | product646 | user1
purchase183 | 2020-08-14 | 2022-09-28 | 14 | supplier9 | product647 | user1
purchase184 | 2021-11-20 | 2022-01-20 | 50 | supplier9 | product648 | user1
purchase185 | 2019-04-27 | 2021-05-31 | 72 | supplier9 | product649 | user1
purchase186 | 2022-04-17 | 2022-06-17 | 10 | supplier9 | product650 | user1
purchase187 | 2020-06-17 | 2021-01-26 | 26 | supplier9 | product651 | user1
purchase188 | 2021-04-18 | 2022-04-18 | 6 | supplier9 | product652 | user1
purchase189 | 2020-04-25 | 2020-12-18 | 74 | supplier9 | product653 | user1
purchase190 | 2021-09-10 | 2022-09-15 | 61 | supplier9 | product654 | user1
purchase191 | 2020-01-27 | 2020-10-02 | 70 | supplier9 | product655 | user1
purchase192 | 2021-01-05 | 2021-03-20 | 35 | supplier9 | product656 | user1
purchase193 | 2022-04-29 | 2022-05-02 | 61 | supplier9 | product657 | user1
purchase194 | 2022-07-02 | 2022-09-25 | 48 | supplier9 | product658 | user1
purchase195 | 2019-09-04 | 2022-03-18 | 89 | supplier9 | product659 | user1
purchase196 | 2020-09-01 | 2021-02-22 | 42 | supplier9 | product660 | user1
purchase197 | 2021-12-31 | 2022-02-19 | 60 | supplier9 | product661 | user1
purchase198 | 2021-04-12 | 2022-05-26 | 69 | supplier9 | product662 | user1
purchase199 | 2021-03-11 | 2021-03-19 | 69 | supplier9 | product663 | user1
purchase200 | 2021-08-30 | 2021-11-04 | 85 | supplier9 | product664 | user1
purchase201 | 2019-11-11 | 2019-11-14 | 32 | supplier9 | product665 | user1
purchase202 | 2019-08-06 | 2020-06-22 | 52 | supplier9 | product666 | user1
purchase203 | 2020-03-29 | 2021-03-30 | 42 | supplier9 | product667 | user1
purchase204 | 2021-01-07 | 2021-03-19 | 73 | supplier9 | product668 | user1
purchase205 | 2022-01-21 | 2022-02-02 | 37 | supplier9 | product669 | user1
purchase206 | 2021-05-06 | 2021-11-01 | 39 | supplier9 | product670 | user1
purchase207 | 2019-06-10 | 2020-08-27 | 87 | supplier9 | product671 | user1
purchase208 | 2021-09-27 | 2022-03-30 | 6 | supplier9 | product672 | user1
purchase209 | 2019-03-01 | 2020-07-21 | 69 | supplier9 | product673 | user1
purchase210 | 2019-06-14 | 2020-01-12 | 52 | supplier9 | product674 | user1
purchase211 | 2019-04-25 | 2020-04-11 | 70 | supplier9 | product675 | user1
purchase212 | 2021-02-27 | 2021-07-01 | 9 | supplier9 | product676 | user1
purchase213 | 2021-01-04 | 2021-06-12 | 6 | supplier9 | product677 | user1
purchase214 | 2021-01-17 | 2022-08-13 | 14 | supplier9 | product678 | user1
purchase215 | 2019-07-27 | 2020-03-27 | 41 | supplier9 | product679 | user1
purchase216 | 2019-05-23 | 2019-05-31 | 7 | supplier9 | product680 | user1
purchase217 | 2021-07-27 | 2021-09-04 | 17 | supplier9 | product681 | user1
purchase218 | 2019-12-17 | 2022-01-06 | 36 | supplier9 | product682 | user1
purchase219 | 2021-03-24 | 2021-05-15 | 53 | supplier9 | product683 | user1
purchase220 | 2021-02-08 | 2021-06-02 | 54 | supplier9 | product684 | user1
purchase221 | 2021-03-31 | 2021-07-14 | 25 | supplier9 | product685 | user1
purchase222 | 2020-03-20 | 2020-06-13 | 67 | supplier9 | product686 | user1
purchase223 | 2020-02-26 | 2020-10-08 | 89 | supplier9 | product687 | user1
purchase224 | 2020-02-15 | 2021-03-06 | 13 | supplier9 | product688 | user1
purchase225 | 2019-11-23 | 2020-10-23 | 32 | supplier9 | product689 | user1
purchase226 | 2021-02-24 | 2021-11-14 | 20 | supplier9 | product690 | user1
purchase227 | 2020-04-25 | 2020-11-21 | 88 | supplier9 | product691 | user1
purchase228 | 2021-06-23 | 2022-06-15 | 32 | supplier9 | product692 | user1
purchase229 | 2019-12-15 | 2020-11-10 | 50 | supplier9 | product693 | user1
purchase230 | 2021-06-01 | 2021-10-05 | 58 | supplier9 | product694 | user1
purchase231 | 2021-05-04 | 2021-09-02 | 82 | supplier9 | product695 | user1
purchase232 | 2020-11-25 | 2020-12-09 | 75 | supplier9 | product696 | user1
purchase233 | 2019-04-02 | 2019-06-11 | 80 | supplier10 | product697 | user1
purchase234 | 2020-07-29 | 2021-01-25 | 17 | supplier10 | product698 | user1
purchase235 | 2019-07-08 | 2021-02-05 | 68 | supplier10 | product699 | user1
purchase236 | 2021-03-31 | 2021-10-08 | 40 | supplier10 | product700 | user1
purchase237 | 2019-02-16 | 2021-03-31 | 74 | supplier10 | product701 | user1
purchase238 | 2020-10-21 | 2021-02-21 | 16 | supplier10 | product702 | user1
purchase239 | 2021-12-10 | 2021-12-20 | 49 | supplier10 | product703 | user1
purchase240 | 2021-12-18 | 2022-02-08 | 62 | supplier10 | product704 | user1
purchase241 | 2021-09-23 | 2022-04-19 | 44 | supplier10 | product705 | user1
purchase242 | 2019-06-19 | 2020-08-20 | 4 | supplier10 | product706 | user1
purchase243 | 2019-01-22 | 2020-03-12 | 7 | supplier10 | product707 | user1
purchase244 | 2021-05-24 | 2022-02-02 | 68 | supplier10 | product708 | user1
purchase245 | 2020-09-29 | 2021-01-25 | 82 | supplier10 | product709 | user1
purchase246 | 2020-12-26 | 2021-02-06 | 22 | supplier10 | product710 | user1
purchase247 | 2019-04-27 | 2021-01-24 | 19 | supplier10 | product711 | user1
purchase248 | 2019-01-19 | 2020-01-17 | 58 | supplier10 | product712 | user1
purchase249 | 2020-08-09 | 2022-05-28 | 16 | supplier10 | product713 | user1
purchase250 | 2022-02-25 | 2022-04-10 | 80 | supplier10 | product714 | user1
purchase251 | 2020-09-02 | 2021-11-11 | 18 | supplier10 | product715 | user1
purchase252 | 2021-06-17 | 2022-07-20 | 84 | supplier10 | product716 | user1
purchase253 | 2020-03-02 | 2021-09-05 | 22 | supplier10 | product717 | user1
purchase254 | 2020-08-03 | 2022-04-19 | 82 | supplier10 | product718 | user1
purchase255 | 2019-10-26 | 2021-02-20 | 47 | supplier10 | product719 | user1
purchase256 | 2020-02-12 | 2021-03-21 | 17 | supplier10 | product720 | user1
purchase257 | 2020-12-30 | 2021-08-01 | 42 | supplier10 | product721 | user1
purchase258 | 2020-04-10 | 2021-01-24 | 18 | supplier10 | product722 | user1
purchase259 | 2020-03-24 | 2020-06-11 | 57 | supplier10 | product723 | user1
purchase260 | 2019-11-10 | 2020-03-07 | 2 | supplier10 | product724 | user1
purchase261 | 2021-09-06 | 2022-02-26 | 22 | supplier10 | product725 | user1
purchase262 | 2021-09-15 | 2021-09-16 | 36 | supplier10 | product726 | user1
purchase263 | 2019-10-04 | 2021-06-11 | 11 | supplier10 | product727 | user1
purchase264 | 2019-06-01 | 2021-07-19 | 28 | supplier10 | product728 | user1
purchase265 | 2020-03-05 | 2022-03-24 | 35 | supplier10 | product729 | user1
purchase266 | 2020-05-01 | 2021-08-22 | 52 | supplier10 | product730 | user1
purchase267 | 2020-05-05 | 2021-04-05 | 71 | supplier10 | product731 | user1
purchase268 | 2020-04-13 | 2022-03-27 | 9 | supplier10 | product732 | user1
purchase269 | 2021-06-22 | 2021-12-14 | 4 | supplier10 | product733 | user1
purchase270 | 2020-05-14 | 2021-10-16 | 84 | supplier10 | product734 | user1
purchase271 | 2021-04-22 | 2022-04-14 | 85 | supplier10 | product735 | user1
purchase272 | 2020-02-26 | 2021-09-05 | 72 | supplier10 | product736 | user1
purchase273 | 2020-03-29 | 2020-05-02 | 82 | supplier10 | product737 | user1
purchase274 | 2020-01-05 | 2020-06-13 | 32 | supplier10 | product738 | user1
purchase275 | 2020-07-24 | 2021-10-11 | 34 | supplier10 | product739 | user1
purchase276 | 2021-10-29 | 2022-06-10 | 87 | supplier10 | product740 | user1
purchase277 | 2021-04-25 | 2021-06-20 | 84 | supplier10 | product741 | user1
purchase278 | 2019-09-08 | 2020-07-25 | 61 | supplier10 | product742 | user1
purchase279 | 2019-11-17 | 2020-09-12 | 31 | supplier10 | product743 | user1
purchase280 | 2022-12-04 | 2022-12-07 | 36 | supplier10 | product744 | user1
purchase281 | 2019-02-01 | 2019-05-13 | 52 | supplier10 | product745 | user1
purchase282 | 2020-03-29 | 2020-12-09 | 39 | supplier10 | product746 | user1
purchase283 | 2020-01-03 | 2021-05-06 | 75 | supplier10 | product747 | user1
purchase284 | 2022-01-02 | 2022-04-29 | 69 | supplier10 | product748 | user1
purchase285 | 2021-03-04 | 2021-06-22 | 31 | supplier10 | product749 | user1
purchase286 | 2020-03-04 | 2022-05-09 | 72 | supplier10 | product750 | user1
purchase287 | 2022-02-28 | 2022-03-30 | 23 | supplier10 | product751 | user1
purchase288 | 2020-12-30 | 2021-05-15 | 85 | supplier10 | product752 | user1
purchase289 | 2021-04-26 | 2022-01-16 | 37 | supplier10 | product753 | user1
purchase290 | 2020-08-13 | 2020-11-26 | 52 | supplier10 | product754 | user1
purchase291 | 2019-05-18 | 2021-03-02 | 88 | supplier10 | product755 | user1
purchase292 | 2020-10-20 | 2020-12-14 | 64 | supplier10 | product756 | user1
purchase293 | 2021-07-31 | 2021-12-26 | 68 | supplier10 | product757 | user1
purchase294 | 2019-11-13 | 2021-05-01 | 24 | supplier10 | product758 | user1
purchase295 | 2022-05-25 | 2022-05-30 | 69 | supplier10 | product759 | user1
purchase296 | 2020-02-21 | 2021-04-26 | 83 | supplier10 | product760 | user1
purchase297 | 2020-10-27 | 2021-01-24 | 55 | supplier10 | product761 | user1
purchase298 | 2019-10-30 | 2022-02-01 | 8 | supplier10 | product762 | user1
purchase299 | 2020-10-23 | 2021-03-23 | 54 | supplier10 | product763 | user1
purchase300 | 2020-06-24 | 2020-07-23 | 78 | supplier10 | product764 | user1
purchase301 | 2020-05-17 | 2021-07-12 | 49 | supplier10 | product765 | user1
purchase302 | 2020-04-06 | 2020-08-09 | 46 | supplier10 | product766 | user1
purchase303 | 2021-06-13 | 2021-10-12 | 33 | supplier10 | product767 | user1
purchase304 | 2020-08-30 | 2021-06-14 | 27 | supplier10 | product768 | user1
purchase305 | 2019-04-28 | 2022-07-11 | 69 | supplier10 | product769 | user1
purchase306 | 2019-12-17 | 2021-02-05 | 82 | supplier10 | product770 | user1
purchase307 | 2019-04-18 | 2020-06-15 | 78 | supplier10 | product771 | user1
purchase308 | 2019-07-06 | 2020-07-25 | 71 | supplier10 | product772 | user1
purchase309 | 2021-03-09 | 2021-06-07 | 33 | supplier10 | product773 | user1
purchase310 | 2020-06-21 | 2021-04-11 | 51 | supplier4 | product235 | user1
purchase311 | 2019-08-18 | 2021-03-28 | 1 | supplier4 | product236 | user1
purchase312 | 2020-05-23 | 2021-01-05 | 59 | supplier4 | product237 | user1
purchase313 | 2021-03-04 | 2021-11-26 | 90 | supplier4 | product238 | user1
purchase314 | 2020-11-23 | 2021-06-04 | 83 | supplier4 | product239 | user1
purchase315 | 2022-08-18 | 2022-09-14 | 62 | supplier4 | product240 | user1
purchase316 | 2019-12-13 | 2020-02-13 | 22 | supplier4 | product241 | user1
purchase317 | 2021-06-17 | 2022-03-15 | 50 | supplier4 | product242 | user1
purchase318 | 2022-02-24 | 2022-10-03 | 11 | supplier4 | product243 | user1
purchase319 | 2021-07-11 | 2021-10-11 | 37 | supplier4 | product244 | user1
purchase320 | 2019-08-29 | 2021-12-21 | 37 | supplier4 | product245 | user1
purchase321 | 2021-05-07 | 2021-11-17 | 77 | supplier4 | product246 | user1
purchase322 | 2020-11-02 | 2021-08-02 | 78 | supplier4 | product247 | user1
purchase323 | 2021-02-16 | 2021-12-02 | 53 | supplier4 | product248 | user1
purchase324 | 2019-09-20 | 2019-11-15 | 39 | supplier4 | product249 | user1
purchase325 | 2021-09-15 | 2022-01-22 | 63 | supplier4 | product250 | user1
purchase326 | 2019-01-05 | 2019-01-26 | 29 | supplier4 | product251 | user1
purchase327 | 2019-03-12 | 2019-10-20 | 1 | supplier4 | product252 | user1
purchase328 | 2021-04-19 | 2021-07-10 | 7 | supplier4 | product253 | user1
purchase329 | 2021-03-21 | 2021-06-07 | 90 | supplier4 | product254 | user1
purchase330 | 2019-01-26 | 2019-11-28 | 15 | supplier4 | product255 | user1
purchase331 | 2021-03-21 | 2021-03-30 | 50 | supplier4 | product256 | user1
purchase332 | 2019-02-21 | 2020-08-26 | 8 | supplier4 | product257 | user1
purchase333 | 2022-01-29 | 2022-02-28 | 37 | supplier4 | product258 | user1
purchase334 | 2019-03-22 | 2021-08-10 | 14 | supplier4 | product259 | user1
purchase335 | 2020-05-13 | 2021-06-29 | 2 | supplier4 | product260 | user1
purchase336 | 2019-09-15 | 2021-03-02 | 52 | supplier4 | product261 | user1
purchase337 | 2019-05-12 | 2021-03-17 | 86 | supplier4 | product262 | user1
purchase338 | 2020-09-04 | 2020-09-22 | 61 | supplier4 | product263 | user1
purchase339 | 2020-12-16 | 2021-01-05 | 16 | supplier4 | product264 | user1
